Mr,SN,ALT,ESAL,AGE,D,PCI
9.7,5.748,150,1457261,8,1,80
14.7,4.882,100,1457261,8,1,74
12.6,4.882,100,1457261,8,1,70
11.2,4.882,100,1457261,8,1,66
12.1,5.748,150,1646516,8,1,66
11,5.748,150,1646516,8,1,59
8.4,5.748,150,1646516,8,1,80
14.5,5.748,150,1646516,8,1,80
10.8,5.748,150,1646516,8,1,76
9.5,4.882,100,1646516,8,1,76
12.2,4.882,100,1646516,8,1,74
11.1,4.882,100,1646516,8,1,72
12.7,5.748,150,1836479,9,1,68
9.9,5.748,150,1836479,9,1,68
9.1,5.748,150,1836479,9,1,66
8,5.748,150,1836479,9,1,57
13.4,4.882,100,1836479,9,1,80
13.4,4.882,100,1836479,9,1,76
9,4.882,100,1836479,9,1,70
8.7,4.882,100,1836479,9,1,76
9.7,5.748,150,2025199,9,1,66
8,5.748,150,2025199,9,1,57
10.5,5.748,150,2025199,9,1,57
8.4,4.882,100,2025199,9,1,66
6.1,4.882,100,2025199,9,1,61
13.2,4.882,100,2025199,9,1,57
12,4.882,100,2025199,9,1,74
9.3,4.882,100,2025199,9,1,70
8.6,5.748,150,2114176,9,1,68
15.4,5.748,150,2114176,9,1,76
12,5.748,150,2114176,9,1,74
10.5,4.882,100,2114176,9,1,61
10.3,4.882,100,2114176,9,1,57
13.8,4.882,100,2114176,9,1,63
12.4,4.882,100,2114176,9,1,57
9.6,4.882,100,2114176,9,1,55
12.9,5.748,150,2202598,9,1,72
10.1,5.748,150,2202598,9,1,68
8.6,5.748,150,2202598,9,1,66
8.8,5.748,150,2202598,9,1,63
8.5,5.748,150,2202598,9,1,59
8.8,4.882,100,2202598,9,1,57
7.5,4.882,100,2202598,9,1,53
12.5,4.882,100,2202598,9,1,55
